title,artist,existing_year,existing_year_source,existing_status,existing_notes,csv_year,estimated_year,mb_year,mb_year_source,deezer_year,discogs_year,discogs_rejected_year,discogs_rejected_reason,chosen_candidate,status,notes,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
A Horse With No Name,America,2011,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2011 (estimated_year) differs from MusicBrainz 1973,2011,2011,1973,mb_ok,1977,,,,1973,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2011 (csv_year) differs from MusicBrainz 1973,38,3BCSIFo2mLFFhSsg0QwpPw,A Horse With No Name,America,playlist_import,,USCGH1180340,true,
Let The Music Play,Barry White,2009,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2009 (estimated_year) differs from MusicBrainz 1975,2009,2009,1975,mb_ok,2018,,,,1975,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2009 (csv_year) differs from MusicBrainz 1975,34,2sR6PY1YgPZTB8hZflRbFq,Let The Music Play,Barry White,playlist_import,,USIR20200274,true,
Like Ice in the Sunshine,Beagle Music,1985,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1985 (estimated_year) differs from MusicBrainz 2007,1985,1985,2007,mb_ok,2016,,,,2007,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1985 (csv_year) differs from MusicBrainz 2007,22,0UNzSO6Ahn3MQ8izYLwc5K,Like Ice in the Sunshine,Beagle Music,playlist_import,,DEP551600193,true,
"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,2020,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2020 (estimated_year) differs from MusicBrainz 1977,2020,2020,1977,mb_ok,2016,,,,1977,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2020 (csv_year) differs from MusicBrainz 1977,43,0qemIQjSxcKyf42VPfZnfa,"Night Fever - From ""Saturday Night Fever"" Soundtrack",Bee Gees,playlist_import,,NLF057790035,true,
Sweet Sixteen - Remastered 2001,Billy Idol,2001,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2001 (estimated_year) differs from MusicBrainz 1986,2001,2001,1986,mb_ok,2024,,,,1986,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2001 (csv_year) differs from MusicBrainz 1986,15,3kyW3qviTr2dIyvqa1lEWC,Sweet Sixteen - Remastered 2001,Billy Idol,playlist_import,,USCH30100011,true,
Kung Fu Fighting,Carl Douglas,2001,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2001 (estimated_year) differs from MusicBrainz 1974,2001,2001,1974,mb_ok,2009,,,,1974,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2001 (csv_year) differs from MusicBrainz 1974,27,40NRm1ZLvZpUSCUXAGGZ8J,Kung Fu Fighting,Carl Douglas,playlist_import,,GBAJE7400014,true,
Evacuate the Dancefloor,Cascada,2012,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2012 (estimated_year) differs from MusicBrainz 2008,2012,2012,2008,mb_ok,2011,,,,2008,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2012 (csv_year) differs from MusicBrainz 2008,4,4Zfq7r0v4FKeoxwhyLYSyb,Evacuate the Dancefloor,Cascada,playlist_import,,DEHK90911301,true,
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Crystal Waters,2007,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2007 (estimated_year) differs from MusicBrainz 1991,2007,2007,1991,mb_ok,2007,,,,1991,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2007 (csv_year) differs from MusicBrainz 1991,16,4UJ1AKSbXAbPlPVFe66wK7,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Crystal Waters,playlist_import,,USPR39102713,true,
Beautiful Sunday,Daniel Boone,2013,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2013 (estimated_year) differs from MusicBrainz 1972,2013,2013,1973,mb_ok,2012,,,,1973,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2013 (csv_year) differs from MusicBrainz 1973,40,6DqNZJ4hhBYd8qj9WbpSTJ,Beautiful Sunday,Daniel Boone,playlist_import,,USV351317686,true,
Miss California - Radio Version,Dante Thomas,2021,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2021 (estimated_year) differs from MusicBrainz 2000,2021,2021,2000,mb_ok,2021,,,,2000,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 2021 (csv_year) differs from MusicBrainz 2000,21,7ct57a8zA6DTc8Cz2QIFIg,Miss California - Radio Version,Dante Thomas,playlist_import,,USEW20000324,true,
Butterfly,Danyel Gerard,1975,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1975 (estimated_year) differs from MusicBrainz 1970,1975,1975,1970,mb_ok,2009,,,,1970,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1975 (csv_year) differs from MusicBrainz 1970,5,72rLswhYvQz9LRx3LogMIW,Butterfly,Danyel Gerard,playlist_import,,FRZ087500010,true,
Voyage voyage,Desireless,1989,csv_year,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1989 (estimated_year) differs from MusicBrainz 1986,1989,1989,1986,mb_ok,1989,,,,1986,existing_year_conflict,discogs skipped (deezer confirmed); existing_year 1989 (csv_year) differs from MusicBrainz 1986,3,2d8D7uk3tbAThjRkdfrx9c,Voyage voyage,Desireless,playlist_import,,DEQ858600201,true,
