title,artist,estimated_year,spotify_track_id,isrc
Slow Hands,Niall Horan,2017,2cOUlop2ZakjOKe4WinesN,USUG11700631
I'm Yours,Jason Mraz,2008,1EzrEOXmMH3G43AXT1y7pA,USEE10800667
Bridge Over Troubled Water,Simon & Garfunkel,1970,6l8EbYRtQMgKOyc1gcDHF9,USSM16900808
Ain't No Sunshine - Single Version,Bill Withers,1994,7kWaNdfYcumoC1cgFmhkSo,USSM17100268
"Hey, Soul Sister",Train,2010,4HlFJV71xXKIGcU3kRyttv,USSM10904113
Gangsta's Paradise,"Coolio, L.V.",1995,1DIXPcTDzTj8ZMHt3PDt8p,USTB10400128
Price Tag,"Jessie J, B.o.B",2011,2fTsFCKRFQ5M0igJgabnLA,USUM71029357
The Great Pretender,The Platters,1991,6Q2pkSKuM08SDOuAS5amQD,USPR39402506
Sweet Nothin's,Brenda Lee,1960,4ZiDhG5Ift5I6reAEOBBec,USMC15919970
Get Get Down,Paul Johnson,1999,4h4AEqy0iBbjdlbtWvIx5O,QMLA71300087
A Good Heart,Feargal Sharkey,1985,4umQbcdBF3YVsNBvvnFLiX,GBAAA8500024
Hurricane,Bob Dylan,1976,1lqMLr9Wj7SM2F9AikGcxN,USSM17500791
Jolene,Dolly Parton,1974,2SpEHTbUuebeLkgs9QB7Ue,USRN19600096
Come on over Baby (All I Want Is You) - Radio Version,Christina Aguilera,1999,7A0apkTSTvMbSI7yplcmlh,USRC10000532
Beautiful Girls,Sean Kingston,2007,1hGy2eLcmC8eKx7qr1tOqx,USSM10701781
Crush,Jennifer Paige,1998,6wAV49hRfOiCTHztORMy8Y,DEB349800301
Hero,Mariah Carey,1993,5mgCMlxQW7fmHbrdJuowbB,USSM19303171
Ein bisschen Frieden,Nicole,1992,7JZHsMxhcaRKug5kA0DmDE,DEC718200001
Fight For This Love,Cheryl,2009,33IQnmtJYjCcrvUUMQgi80,GBUM70911955
It Takes Two,"Marvin Gaye, Kim Weston",1966,0UERoCKd24PKovd4BwRzBQ,USMO16600484
Under the Boardwalk,The Drifters,1964,65jrjEhWfAvysKfnojk1i0,USAT20001017
Blueberry Hill,Fats Domino,1959,06PdA0DLgF4BfAeUNZAbFG,USEM38700119
Heartbreak Hotel,Elvis Presley,2002,2IfE8FhnPPEBSS4rL1qhBb,USRC10200074
My Baby Just Cares for Me - 2012 Re-Issue,Nina Simone,2022,3NJKI4cwlSBuTYNmDoRVb3,USAA49230046
Close To You,Maxi Priest,1990,33I3oS8UkebR3KRvqxD9X0,GBAAA9000061
Girl I'm Gonna Miss You,Milli Vanilli,2010,4vOo9fdrahQHyfdyE1J06w,DED169400021
Rich Girl,Daryl Hall & John Oates,1976,0qRR9d89hIS0MHRkQ0ejxX,USRC17607760
All Kinds of Everything,Dana,2015,3SJPRPwpF0MTFKPrshBeKM,uscgh1615055
King of My Castle,Wamdue Project,2009,5SIVWg2sHKAuHAXOelNS0m,AUXN20902454
Breakaway,Kelly Clarkson,2004,4PFAm88FBkY7IFtvCaGctZ,GBCTA0400230
Lily Was Here (feat. Candy Dulfer),"Dave Stewart, Candy Dulfer",1990,5HVqftYQ37bJx3y0SI4obk,GBARL8900064
Twist And Shout,The Isley Brothers,2005,7iFdUmdqT9XrsJdSGf9KrX,USACU0500314
"Don't Cry For Me Argentina - From ""Evita""","Julie Covington, Andrew Lloyd Webber, Tim Rice",2018,1OxDEvjPoQrNhZ5c3tTxSu,USMC10111984
Bleeding Love,Leona Lewis,2007,7wZUrN8oemZfsEd1CGkbXE,GBHMU0700049
Stand By Me,Ben E. King,1962,3SdTKo2uVsxFblQjpScoHy,USAT21402270
Lose Control,"MEDUZA, Becky Hill, Goodboys",2019,7CHi4DtfK4heMlQaudCuHK,DEUM71905792
Do That To Me One More Time,Captain & Tennille,1999,6713iRkhqG9dOF0JIfzAdo,USPR37900077
Master Blaster (Jammin'),Stevie Wonder,2002,3X2DWkLXNVGCMxB23Zeg7I,USUMG9900475
Someone Like You,Adele,2011,3bNv3VuUOKgrf5hu3YcuRo,GBBKS1000351
Ben - Single Version,Michael Jackson,1972,3vZMkLS1jP7NdNhzqGfUSW,USMO17282631
The Most Beautiful Girl In the World,Prince,1995,0aPaGIX2QIMAH5SMp0VEMe,USQX91801753
Papaoutai,Stromae,2013,53W8npbWVQo61IR8R88pra,BET671300160
Lullaby,The Cure,2001,09OpntwPHuNICsyEt1ETpE,GBALB0300002
Big Big World,Emilia,1998,5I4xjdu4DeKUNMiufzQLoA,SEBLM9808010
Only Girl (In The World),Rihanna,2010,0AH6WMe3OlAlUb5miXt2FQ,USUM71023200
Are You With Me,Lost Frequencies,2016,4255amV4enzl28KAn16rUO,NLF711403495
Imagine - Remastered 2010,John Lennon,1971,7pKfPomDEeI4TPT6EOYjn9,GBAYE1000769
The Twist,Chubby Checker,1962,6DSvUZQdqtNfkJI4cAiUsM,USI4R0502237
Dance Little Sister,Sananda Maitreya,1987,4o9Kj7onklt6xbYl3jVArp,GBBBN8700001
New Shoes,Paolo Nutini,2007,265Anh9hGoozFigjUVLUeD,GBAHS0600229
Still Got The Blues,Gary Moore,1994,5VsGMpbqdtvCY2G080KdcH,GBAAA9000111
Miles On It,"Marshmello, Kane Brown",2024,4pkb8SbRGeHAvdb87v9rpf,QZZVQ2400059
I WANNA BE YOUR SLAVE,Måneskin,2021,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
Womanizer,Britney Spears,2008,4fixebDZAVToLbUCuEloa2,USJI10800838
