title,artist,estimated_year,spotify_track_id,isrc
"Men In Black - From ""Men In Black"" Soundtrack",Will Smith,1997,3Dq2FHZ73hBUG815MoapQu,USSM19700762
Jein,Fettes Brot,1996,22f8RBGm0xklH4wSh36J3w,DEAH91600042
"Whenever, Wherever",Shakira,2001,2lnzGkdtDj5mtlcOW2yRtG,NLB630100324
Dynamite,Taio Cruz,2010,1DqdF42leyFIzqNDv9CjId,GBUM71003721
Let's Get It Started - Spike Mix,Black Eyed Peas,2003,4hfIVhq0F0zFUcrbecsYmo,USIR10400364
Love Shack - Edit,The B-52's,1989,64B4UbGRLtGRBtiN2m8OvF,USRE10801410
U Can't Touch This,MC Hammer,1990,1B75hgRqe7A4fwee3g3Wmu,USCA29000294
It's Like That,"Run–D.M.C., Jason Nevins",2002,0CtkjgZpkgnW7U6WmHsakD,USAR19700609
...Baby One More Time,Britney Spears,1999,3MjUtNVVq3C8Fn0MP3zhXa,USJI19810404
Fire,The Pointer Sisters,1978,65lHwG8JFJs67PnOUhCYPq,USRC10201815
Ma che bello questo amore,Eros Ramazzotti,1987,12s8fpxTKhQl4HmKUKEYZv,ITB008770681
Run the World (Girls),Beyoncé,2011,1uXbwHHfgsXcUKfSZw5ZJ0,USSM11102447
All Along the Watchtower,Jimi Hendrix,1968,2aoo2jlRnM3A0NyLQqMN2f,USQX90900749
I Can't Help Myself (I Love You I Want You),The Kelly Family,1996,7fbBhfx6KPy2pymlqIgqsa,DEC649600222
Toxic,Britney Spears,2003,6I9VzXrHxO9rA9A5euc8Ak,USJI10301005
Express Yourself,Madonna,2009,6ioBgySxoeQKALvAeLEmId,USWB10903609
I Want You Back,The Jackson 5,1969,5LxvwujISqiB8vpRYv887S,USMO19400306
American Pie,Don McLean,1971,1fDsrQ23eTAVFElUMaf38X,USEM38600088
Waiting For Love,Avicii,2015,2P4OICZRVAQcYAV2JReRfj,CHB701400134
Sweet Soul Music,Arthur Conley,2018,645ojoX65Fjby38wU9mSZd,USAT20001064
Hypnotize,The Notorious B.I.G.,2020,5wLvXRcwv2pvQsuRjt9piO,USAT21402725
Raise Your Glass,P!nk,2010,1gv4xPanImH17bKZ9rOveR,USLF21000090
Caribbean Queen (No More Love On the Run),Billy Ocean,2010,4JEylZNW8SbO4zUyfVrpb7,GBAHK9700109
Dragostea din tei,O-Zone,2004,52Zr0sinhWTCRrQhRRY4EP,ROMSA0600487
Gold,Spandau Ballet,2000,2X9fsxb6O6bYEopJYmUbNC,GBAYK8300018
I'm an Albatraoz,AronChupa,2014,5XSSGkeN6FJm7AAowBCLEW,SEYOK1406001
Come Back and Stay,Paul Young,2003,1RmgLVx1f90AuMnqRHZS5j,GBBBN8300003
Shake Your Booty - Live,"KC, The Sunshine Band",2001,4gcxYHlffrCstGw7EPWB88,USMC30710030
The Spirit of the Hawk,Rednex,2000,7xXSaVgEvUrV1GCc3oO8HC,GBMJG1712578
Oh Happy Day,The Edwin Hawkins Singers,2001,34yIb7hw5SuR80au1BHTtt,USBR10100065
The Bomb! (These Sounds Fall Into My Mind) - Radio Edit,The Bucketheads,1995,0qQiqwzddwQmtoGcF3Uzm5,GBAYE9802260
Bad Romance,Lady Gaga,2009,4x3XzqDLZbRF7Ap6MIaJ9a,USUM70903859
Bad Boy,Miami Sound Machine,1992,4X03MUMRXh51b5sulKYi3F,USSM10026150
Pump It,Black Eyed Peas,2005,2ygMBIctKIAfbEBcT9065L,USIR10500407
Walkin' Back to Happiness,Helen Shapiro,2018,19SxvsX3cFBDExvGaRkyQr,GBAYE9701917
Single Ladies (Put a Ring on It),Beyoncé,2008,557un1HgwYMuqfWGSTmnxw,USSM10803760
Flowers,Miley Cyrus,2023,4DHcnVTT87F0zZhRPYmZ3B,USSM12209777
Brown Eyed Girl,Van Morrison,1967,3yrSvpt2l1xhsV9Em88Pul,USSM16700357
Rock Your Body,Justin Timberlake,2002,1AWQoqb9bSvzTjaLralEkT,USJI10200367
Ding Dong,EAV (Erste Allgemeine Verunsicherung),2008,75A3w3uEqc2frjzHA1KUMt,DEA810500975
Love Comes Again,"Tiësto, BT",2004,23x1l5fneuI3tfw52NftWH,NLE710480322
Loco in Acapulco,Four Tops,1988,7gfAYm7X5HMSuKcO4dy8Wi,USAR18800003
APT.,"ROSÉ, Bruno Mars",2024,5vNRhkKd0yEAg8suGBpjeY,USAT22409172
Ouzo,Vincent Gross,2023,6QeQs7lz8qR2miwx9n2epp,CH7812354719
Co-Co,Sweet,1971,2tmp3qeYcaOYE2cUsQBkWH,GBARL7100002
Doctor Jones,Aqua,1997,4cQ4uc9psVcYC2S89nd7JG,DKBKA9700405
Hero,"AFROJACK, David Guetta",2021,29p6UW08MXzwj9thWBW3uF,CYA222100011
Take on Me,a-ha,1985,2WfaOiMkCvy7F5fcp2zZ8L,USWB19901214
Replay,Iyaz,2009,5vlEg2fT4cFWAqU5QptIpQ,USRE10901161
Goin' Home,The Osmonds,1973,0p84j3ol6LPVQwW7cPB3y4,USPR37307332
Do You Love Me,The Contours,2012,0MRYsngZv8UGICDehOYuYJ,GBLGL1236814
Don't Speak,No Doubt,2003,6JGQ98So2ik5GVI9ydQ2Yh,USIR19500279
So Yesterday,Hilary Duff,2003,0J1Wfjo9H3R62yaCuuNDZX,USWD10321207
Candy Shop,"50 Cent, Olivia",2005,5D2mYZuzcgjpchVY1pmTPh,USIR10500072
Walk Like an Egyptian,The Bangles,2004,1Jwc3ODLQxtbnS8M9TflSP,USSM18500592
Because the Night,Cascada,2009,0dLMK9i5dLoYYrGXFdlcT3,DEHK90780401
Beep,"The Pussycat Dolls, will.i.am",2005,6GHMJJjpoqiBnw3wgSplL7,USUM70501898
