title,artist,estimated_year,spotify_track_id,isrc
Surfin' U.S.A.,The Beach Boys,2012,2EPr9Wx7e1cpGEbNAtuN7x,USCA21201955
Need A Favor,Jelly Roll,2023,07on0OB2cdPt79IFsgdRUy,QMRSZ2203220
The Emptiness Machine,Linkin Park,2024,2PnlsTsOTLE5jnBnNe2K0A,USWB12403464
Cut the Cord,Shinedown,2015,4LFBVDJV0xpayUvquQVzhS,USAT21501541
Hurricane,I Prevail,2019,2GFwwTIVLjnOrtP7m9luHC,US5261923090
Are You Gonna Be My Girl,Jet,2003,72zZfHPYx43shcP3eKkYi5,USEE10340526
American Idiot,Green Day,2004,6nTiIhLmQ3FWhvrGafw2zj,USRE10400888
Hit Me With Your Best Shot,Pat Benatar,1980,0vOkmmJEtjuFZDzrQSFzEE,USCH38400009
Crazy Train,Ozzy Osbourne,2020,7ACxUo21jtTHzy7ZEV56vU,USSM11002845
I WANNA BE YOUR SLAVE,Måneskin,2021,4pt5fDVTg5GhEvEtlz9dKk,ITB002100115
In the End,Linkin Park,2000,60a0Rd6pjrkxjPbaKzXjfq,USWB10002407
Even Flow,Pearl Jam,1991,6QewNVIDKdSl8Y3ycuHIei,USSM19100673
Black Betty,Ram Jam,1977,6kooDsorCpWVMGc994XjWN,USSM10211288
Detroit Rock City,KISS,1978,0PQ51hZtABYRaXNHkVpAfD,USPR37707201
Don't Stop Me Now - Remastered 2011,Queen,1978,5T8EDUDqKcs6OSOwEsfqG7,GBUM71029610
Bad To The Bone,George Thorogood & The Destroyers,1982,6s0NHplywwr1IjnQpUpWJk,USEM38500069
Poison,Alice Cooper,1989,5XcZRgJv3zMhTqCyESjQrF,USSM18900004
"Danger Zone - From ""Top Gun"" Original Soundtrack",Kenny Loggins,1997,34x6hEJgGAOQvmlMql5Ige,USSM18600108
Thunderstruck,AC/DC,1990,57bgtoPSgt236HzfBOd8kj,AUAP09000014
Children of the Grave,Black Sabbath,2016,4JADjxwEqz3UOQROjg9TiJ,GBAJE7100085
Altes Fieber,Die Toten Hosen,2012,1qPea3SGgcs2ODFweqK7hP,DEF241230008
Creep,Radiohead,1993,70LcF31zb1H0PyJoS1Sx1r,GBAYE9200070
Dragula,Rob Zombie,1998,6Nm8h73ycDG2saCnZV8poF,USGF19821203
Angels Fall,Breaking Benjamin,2015,2D9BrlpeyjXF0vli2dYQ5V,USHR11536293
I Miss the Misery,Halestorm,2012,60rHc4AkLlP4XVSATvBb6K,USAT21200150
Two Princes,Spin Doctors,1991,4ePP9So5xRzspjLFVVbj90,USSM19000350
Breaking the Law,Judas Priest,1980,2RaA6kIcvomt77qlIgGhCT,GBBBN8000007
Lola Montez,Volbeat,2013,34rCwPVIy1OZKfIbXC9KmN,DKNE11300109
Ain't Talkin' 'Bout Love,Van Halen,1996,0ddmUcKR9WjqmaT4FlhMNU,USWB17700031
Just What I Needed,The Cars,1978,4alHo6RGd0D3OUbTPExTHN,USEE17500009
San Quentin,Nickelback,2022,2fDy68BuFDTa7UGVicym4Z,QMRSZ2202409
First Date,blink-182,2001,1fJFuvU2ldmeAm5nFIHcPP,USMC10110874
