title,artist,csv_year,mb_year,mb_year_source,diff,spotify_track_id,spotify_match_name,spotify_match_artist,match_method,similarity_score,isrc,spotify_found,final_year
Get Busy,Sean Paul,2022,2002,musicbrainz,20,6bK9BH9Ts8Gj5JFvnQkzak,Get Busy,Sean Paul,playlist_import,,USAT20202575,true,2002
Reggae Night,Jimmy Cliff,2002,1983,musicbrainz,19,1OE5bn5HUmCqTLNpo13ya3,Reggae Night,Jimmy Cliff,playlist_import,,USSM19917309,true,1983
"Ella, elle l'a",France Gall,2005,1987,musicbrainz,18,6fyyO9wAmiW9oEAXrOR8jQ,"Ella, elle l'a",France Gall,playlist_import,,FRT198700050,true,1987
Sweat (A La La La La Long),Inner Circle,2010,1992,musicbrainz,18,1SssFw74DdHVjRa6ADggdD,Sweat (A La La La La Long),Inner Circle,playlist_import,,USA2P1004785,true,1992
Summer Wine,"Nancy Sinatra, Lee Hazlewood",1968,1986,musicbrainz,18,2JKRZGp4LwT9GGbcXtx2sw,Summer Wine,"Nancy Sinatra, Lee Hazlewood",playlist_import,,USASE0510168,true,1968
Ratzfatz nach Mallorca,Ibo,2017,2000,musicbrainz,17,6G2lRHL7CJjHEaf6AGK9Q5,Ratzfatz nach Mallorca,Ibo,playlist_import,,DEA760003101,true,2000
"The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98][English]",Ricky Martin,2015,1998,musicbrainz,17,7aUCLXZ4D4UD5sCgIgxqjl,"The Cup of Life (La Copa De La Vida) [The Official Song of the World Cup, France '98][English]",Ricky Martin,playlist_import,,NLB639810008,true,1998
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Crystal Waters,2007,1991,musicbrainz,16,4UJ1AKSbXAbPlPVFe66wK7,Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Crystal Waters,playlist_import,,USPR39102713,true,1991
Sugar Baby Love,The Rubettes,1990,1974,musicbrainz,16,294ii3rwz6bTJ2XMn5BDu0,Sugar Baby Love,The Rubettes,playlist_import,,GBAKW7400099,true,1974
Sweet Sixteen - Remastered 2001,Billy Idol,2001,1986,musicbrainz,15,3kyW3qviTr2dIyvqa1lEWC,Sweet Sixteen - Remastered 2001,Billy Idol,playlist_import,,USCH30100011,true,1986
