title,artist,estimated_year,spotify_track_id,isrc
Everytime,Britney Spears,2003,0dRhSF9LV0HR8Jwd3MMMKJ,USJI10301010
Jungle Drum,Emilíana Torrini,2008,49sGyqfSqURWHIKDbkTfdQ,GBCVZ0802439
Nevermind,Dennis Lloyd,2017,63SevszngYpZOwf63o61K4,USHM91642610
Prayer in C - Robin Schulz Radio Edit,"Lilly Wood and The Prick, Robin Schulz",2014,5fnA9mkIfScSqHIpeDyvck,DEA621400286
Obsesion,"Aventura, Judy Santos",2002,65H6t1WQBim6q93yM8fEwn,US83W0500074
The Edge Of Glory,Lady Gaga,2011,57F80059mWaWFvWG3tBTbO,USUM71106458
Cake By The Ocean,DNCE,2016,76hfruVvmfQbw0eYn1nmeC,USUM71514637
Heaven,U96,1996,3gpFz8oAnbKQz83jf17yco,DED579602560
Wannabe,Spice Girls,1996,1Je1IMUlBXcx1Fz0WE7oPT,GBAAA9600008
I Know You Want Me (Calle Ocho),Pitbull,2009,5RzFJd6W40SDTyZkX6xx45,USJAY0900144
"'54, '74, '90, 2010",Sportfreunde Stiller,2006,6ee1motyT1KuUMiz8dMqxj,DEUM70602470
Daddy Cool,Boney M.,1976,3WMbD1OyfKuwWDWMNbPQ4g,DEC737600002
Beautiful Sunday,Daniel Boone,2013,6DqNZJ4hhBYd8qj9WbpSTJ,USV351317686
Ab in den Süden - Neuaufnahme,Buddy,2014,2XQ00wanrsQOL9djhTQEEY,DEZ921300172
"I'll Be Missing You (feat. Faith Evans, 112)","Diddy, Faith Evans, 112",2004,3QHONiXGMGU3z68mQInncF,USBB40581044
Stole the Show,"Kygo, Parson James",2016,5masKPHeAOVNgxdLebIcK7,SEBGA1500071
Despacito,"Luis Fonsi, Daddy Yankee",2019,6habFhsOp2NvshLv26DqMb,USUM71607007
Sweet About Me,Gabriella Cilmi,2008,3Ws8j16fKE1jj74XksiyV6,GBUM70709626
Au Revoir (feat. Sido),"Mark Forster, Sido",2014,1ZMODMeLK5x6W8r8jsmmgX,DEQ321400093
Hamma! - Single Edit,Culcha Candela,2007,3vaBHxfz5WPBLLPt1hTUvI,DEUM70706793
Shape of You,Ed Sheeran,2017,7qiZfU4dY1lWllzX7mPBI3,GBAHS1600463
Swing The Mood,Jive Bunny and the Mastermixers,2009,3Aimpqxpvmz7jhJlNnEd5c,GBCMJ9905669
Jumpin' Jack Flash,The Rolling Stones,2021,1uBsu3PbD2909UBIfEMLvK,USA171810060
Played-A-Live (The Bongo Song) - Radio Edit,Safri Duo,2005,2MDdh4rbNNBiy8l6XgI6E9,DKBKA0001601
Kingston Town,UB40,1989,1YnVYHXoak0syv4xBRHQRb,GBAAA8900032
I Don't Care (with Justin Bieber),"Ed Sheeran & Justin Bieber, Justin Bieber",2019,3HVWdVOQ0ZA45FuZGSfvns,GBAHS1900672
"I'll Be There for You (Theme from ""Friends')",The Rembrandts,1995,1lfjTOtTRUDkzcmahA4lcs,USEE10900777
Please Don't Go,Double You,1992,0bwNb4KRkhzahJJMFsGoPR,IT00C9200201
In My Mind,"Dynoro, Gigi D'Agostino",2018,0E9ZjEAyAwOXZ7wJC0PD33,QZ22B1859046
Rose Garden,Lynn Anderson,1971,5YwgJ6lpZ3SiAQwBEpjqey,USSM17000700
Perdona,Tiziano Ferro,2016,4T3o83F13gwUaF0xCtAfNl,ITB920200002
This Love,Maroon 5,2002,6ECp64rv50XVz93WvxXMGF,USJAY0300080
It's Not Unusual,Tom Jones,1965,3TlIt0ReIxPsVZcOEivT5U,GBF076520010
"Türlich, Türlich (Sicher, Dicker)",Das Bo,2000,0zv3f19rNhmZhNmNA2xJsF,DEZN32100024
Ghetto Supastar (That is What You Are) (feat. Ol' Dirty Bastard & Mýa),"Pras, Ol' Dirty Bastard, Mýa",1998,31bf9SEOppLU6lQ85d8om6,USSM19803488
La Camisa Negra,Juanes,2005,0sUWZTmLTZj21G6dmlsJlj,USUL10400965
Call Me Maybe,Carly Rae Jepsen,2012,20I6sIOMTCkB6w7ryavxtO,CAB391100615
No No Never,Texas Lightning,2006,5EEiZp74udn1TOG6ty9Pq6,DEX570600001
Everybody,DJ BoBo,2006,4Kc0S6bWVeO7Q4SoMPAyX1,DEMI60600006
Cose Della Vita (with Tina Turner),"Eros Ramazzotti, Tina Turner",2004,2bJtJv5NGkYUFP6prU3WSg,ITB009700361
Miss California - Radio Version,Dante Thomas,2021,7ct57a8zA6DTc8Cz2QIFIg,USEW20000324
Country Roads (Dance Radio Version),Hermes House Band,2015,0yD9qeu9sM5HhKWzv8dZ5N,NLA910100123
The Safety Dance,Men Without Hats,2013,5O4NFbDqJ8SOfbjnIhdPDt,GBBLG0200043
Gypsy Woman (She's Homeless) (La Da Dee La Da Da) - Radio Edit,Crystal Waters,2007,4UJ1AKSbXAbPlPVFe66wK7,USPR39102713
Summertime Sadness,Lana Del Rey,2012,7sZUHAC6nadme4EwrLe99Q,GBUM71111565
Get It On,T. Rex,1971,0LoQuiekvzqx7n8flgEKzF,GBCHM7100038
Blue (Da Ba Dee) - Gabry Ponte Ice Pop Radio,"Eiffel 65, Gabry Ponte",1999,2yAVzRiEQooPEJ9SYx11L3,ITT019810102
Maria,US5,2005,5e4K5KMw5o13ZDLS6ONAEf,DEPI82102292
No Limit,2 Unlimited,2014,1hGvGM76KOX6tpAyaHB0au,BEAA19507007
American Pie - Single Version,Don McLean,2019,6lHTt7tzOzCcVaBf1CIQfR,USEM39000209
Sugar Baby Love,The Rubettes,1990,294ii3rwz6bTJ2XMn5BDu0,GBAKW7400099
Lieblingsmensch,Namika,2015,6oHDvarQSp0mf5AD1SyNH0,DEE861500389
Let It Be - Remastered 2009,The Beatles,1970,7iN1s7xHE4ifF5povM6A48,GBAYE0601713
Around the World (La La La La La),"A Touch Of Class, Pete Konemann",2000,0IbTukfZdB91gclEXUQZkH,DEP810000008
Party Rock Anthem,"LMFAO, Lauren Bennett, GoonRock",2011,7mitXLIMCflkhZiD34uEQI,USUM71100061
Backseat of Your Cadillac - Single Version,C.C. Catch,2018,08ELdy0Y3kHX59SR5qy69z,DEH820500223
Crazy,"Gnarls Barkley, CeeLo Green, Danger Mouse",2007,1vxw6aYJls2oq3gW0DujAo,GBAHT0600202
Tom's Diner,"DNA, Suzanne Vega",2021,0mFIn4etymn4sDWNrERNJh,USAM19104303
Love Runs Out,OneRepublic,2014,3cOO5IQtOYs7huq4Z6lYfr,USUM71404631
Never Gonna Give You Up,Rick Astley,1987,4cOdK2wGLETKBW3PvgPWqT,GBARL9300135
It's a Real Good Feeling,"Peter Kent, Luisa Fernandez",2000,3k2F7ncBMqQOwAY29KiiPF,AUXN22294751
Aicha,Outlandish,2003,5g7rz8nma2gAaEBHlvT68N,DKADG0201504
Heart Of Gold,Neil Young,2010,5vd1QZ0tdXOExiegC55IAS,USRE19900182
Semi-Charmed Life,Third Eye Blind,1997,42et6fnHCw1HIPSrdPprMl,USEE19701203
Glow,Madcon,2010,4icNLSquKZp6e0iEkBn9RP,NOBLV1005010
Looking for Freedom,David Hasselhoff,1989,1eMhNaN4a92qoidBbkQCmG,DEC718900010
All Summer Long,Kid Rock,2007,5rX6C5QVvvZB7XckETNych,USAT20704333
Zwei Mädchen aus Germany,Paul Anka,2016,4ImlIOgbZtZbhY9AUSHpGm,DEAR41617538
Mr. Saxobeat,Alexandra Stan,2016,2BTSWfjaTMYWCxhmVRhqLK,ROCRP1002864
Ferrari,"James Hype, Miggy Dela Rosa",2022,4zN21mbAuaD0WqtmaTZZeP,GB3CE2200004
Wunder gibt es immer wieder,Katja Ebstein,1994,68pun2nSn33MONTnLYKgpm,DEA817000006
Chocolate (Choco Choco) - Single Version,Soul Control,2020,3J5F2R62SIyivGUdebjR0O,DEA312007513
I Swear,All-4-One,1994,4WUnM4KNZ0kjp0CUeoyOnS,USAT29400058
"Zeit, dass sich was dreht - Deutsche Version","Herbert Grönemeyer, Amadou, Mariam",2008,2ln6685JphEqCJYclkusqW,DEC610800606
Ich bin der Martin 'ne,Diether Krebs,2005,2znqUPNy69gC4l5cC6CtAK,DEG419900676
Komet,"Udo Lindenberg, Apache 207",2023,7oQepKHmXDaPC3rgeLRvQu,DEA622202192
