title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Trudno tak (razem byc nam ze soba),"Krzysztof Krawczyk, Edyta Bartosiewicz",2016,2XaWRFfWAopw4MjhWzuJ15,PLA320400032,Duety,album,2016-11-04,263853,Krzysztof Krawczyk,5,1
There's Nothing Holdin' Me Back,Shawn Mendes,2017,7JJmb5XwzOO8jgpou264Ml,USUM71702833,Illuminate (Deluxe),album,2017-04-20,199440,Shawn Mendes,1,1
9 to 5,Dolly Parton,1980,4w3tQBXhn5345eUXDGBWZG,USRN19400384,9 To 5 And Odd Jobs,album,1980,166749,Dolly Parton,1,1
"Money, Money, Money",ABBA,1976,3lKN03PDeBnXZS7sDukRBt,SEAYD7601060,Arrival,album,1976,186426,ABBA,6,1
Livin' On A Prayer,Bon Jovi,1986,37ZJ0p5Jm13JPevGcx4SkF,USPR38619998,Slippery When Wet,album,1986-08-16,249293,Bon Jovi,3,1
Axel F,Harold Faltermeyer,1988,2kgqupahrJpYB4r1poTXEY,USMC18416586,Harold F,album,1988-01-01,180866,Harold Faltermeyer,10,1
Despacito,"Luis Fonsi, Daddy Yankee",2019,6habFhsOp2NvshLv26DqMb,USUM71607007,VIDA,album,2019-02-01,229360,Luis Fonsi,9,1
Summer,Calvin Harris,2014,6YUTL4dYpB9xZO5qExPf05,GBARL1400296,Motion,album,2014-10-31,222533,Calvin Harris,8,1
Znam cie na pamiec,Brodka,2006,4Wa9xLwIOdletdE8tBZKp5,PLB380600178,Moje piosenki edycja zwykla,album,2006-11-16,203480,Brodka,4,1
...Baby One More Time,Britney Spears,1999,3MjUtNVVq3C8Fn0MP3zhXa,USJI19810404,...Baby One More Time (Digital Deluxe Version),album,1999-01-12,211066,Britney Spears,1,1
The Weekend - Radio Edit,Michael Gray,2007,6KzkqZqhUBEsWYJJa2aBOd,GBBFR0400137,Analog Is On,album,2007-06-01,192173,Michael Gray,1,1
Heaven Is A Place On Earth,Belinda Carlisle,1987,4V9BTST4BSkvOL4xIQNHuS,GBAAA8700010,Heaven on Earth (Remastered & Expanded Special Edition),album,1987-10-05,247093,Belinda Carlisle,1,1
Shake It Off,Taylor Swift,2014,0cqRj7pUJDkTCEsJkx8snD,USCJY1431349,1989 (Deluxe),album,2014-01-01,219200,Taylor Swift,6,1
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014,0puf9yIluy9W0vpMEUoAnN,USUM71409737,Sweet Talker (Deluxe Version),album,2014-10-10,199386,Jessie J,4,1
"Wieża radości, wieża samotności",Sztywny Pal Azji,2001,2nyBbMPk3yWE0cLJmJcbzH,PLB171101279,Europa i Azja,album,2001-12-31,296586,Sztywny Pal Azji,12,1
Pamietasz Była Jesień,Sława Przybylska,2015,04y2J9vVNMhgC68NAsskqW,PLA391591502,"Polska Nostalgia 75+, cz. 1",compilation,2015-02-02,250253,Various Artists,2,1
