title,artist,estimated_year,spotify_track_id,isrc
Maschen-Draht-Zaun - Radio Edit,Stefan Raab,1999,3io3Tvsz2kg029lusbLmiR,DEQ989900069
Das erste Mal tat's noch weh (Les histoires d'amour),"Stefan Waggershausen, Viktor Lazlo",1990,6ZknmWa9VVSFDjGudcrktZ,DEM590300207
An der Copacabana,EAV (Erste Allgemeine Verunsicherung),2008,72MyxNUZ3SFivW1QsS5aIe,DEA810500976
Etwas für die Ewigkeit,Claudia Jung,2003,2l9GnrHGPK0IpEe6wZzXme,DEA349401775
I lass di nimmer aus,Relax,2015,7EQWjHjlRvKfKcpfrvMTGK,ATB571504097
La Luna Blu,Monika Martin,1996,7DhEYaCKAEUhDu1UXN9pC6,ATK239600074
Prinzessin,Michael Wendler,2014,5yYD53kfXBuWHTKBxps78B,DEA810700450
Griechischer Wein,Udo Jürgens,1994,452WSSzuklpg0w4RKTlkvn,DEA817400019
Die Gefühle haben Schweigepflicht,Andrea Berg,1995,6XAhhD4ZbcHoPm7FdcFzbS,DEZ040400109
Die rote Sonne von Barbados,Die Flippers,2008,17746nT5RodRzc10dYUBds,DEA439400011
Es fährt ein Zug nach nirgendwo,Christian Anders,2011,3uGkTWh0MXo9jVyyWSVCed,DEA347201034
Der Sonne entgegen,Ben Zucker,2018,1BxvKtuUF3OlrEF3x87e2F,DEUM71801472
Rausch,Helene Fischer,2021,0eXTfsdOsGvxf7semdstyh,DEUM72117563
Mit dir werden Wunder noch wahr,Bernhard Brink,2003,5DtU9fVQMb7Lz0WXHCYhzp,DEA340300764
Blaue Lagune,"Anna-Carina Woitschack, Stefan Mross",2020,3kfx1zpnXZPRCim2v8wtzj,DEQS92000125
Ohne Dich (schlaf' ich heut Nacht nicht ein),Münchener Freiheit,1986,7JM1dFLOa1kI5MqGnDufiY,DEE868500072
Carbonara,Spliff,1982,7MU1uNaZzTkwHQV8sRNB3l,DEE868200104
"Der wilde, wilde Westen",Truck Stop,2003,7LeYfDE3RuEAkSL5fsmEvH,DEF088000270
Hello Again,Howard Carpendale,1987,4TwHWwirwPR5lQFeSSDhqr,DEA348402001
Starke Gefühle,Juliane Werding,1988,4Qmw3WjhGemnO7x2acBBci,DEA620102116
Lieben heißt Leben,Bernd Clüver,1994,19kGOyugxzRlRlYhurzn9S,DEC719300233
Büetzer Buebe,"Gölä, Trauffer",2020,6WpKBQFb4fs6nvyrLh9yiv,CH0011900098
Mein Herz,Beatrice Egli,2013,1CINbWotyT3WDt9EDh3cww,DEUM71301931
Wenn den Kindern Flügel wachsen,Ingrid Peters,2005,4AKYFbcTn5DNTougQyjKRM,DEE530401002
Hier kommt Kurt,Frank Zander,1988,6RE97TNubJ4EMkoULibMLw,DEC489900054
