title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Sonic Empire - Short Mix,Members Of Mayday,1997,19iYbGg080uoVvudEvrN43,DEE199700014,Sonic Empire,single,1997-03-24,239462,Members Of Mayday,1,1
Senza Una Donna,Zucchero,1987,3ShEGKdskF0ke7iW2u9gjD,IT9008701810,Blue's,album,1987-06-15,267333,Zucchero,7,1
Don't Stop,Fleetwood Mac,1988,6l6vgKIgXLnqgSMqf4nGNc,USWB19900180,Greatest Hits,compilation,1988-11-22,190773,Fleetwood Mac,2,1
Coco Jamboo,Mr. President,1996,5fRvePkRGdpn2nKacG7I6d,DEBS80500020,We See the Same Sun,album,1996-05-17,218733,Mr. President,2,1
"Never Leave You (Uh Oooh, Uh Oooh)",Lumidee,2003,1AjQE5MtP5jHQMyDepbvLI,USUR10300367,Almost Famous,album,2003-01-01,184906,Lumidee,4,1
Ö La Palöma - Radio Edit,Ö La Palöma Boys,1999,6JUhYg1RCDoEkBDoX9eDQL,DEQ989900065,Ö La Palöma,single,1999-05-31,221466,Ö La Palöma Boys,1,1
Jetzt oder nie,Maite Kelly,2016,5Q5mE6WAW410uleWj0Qjz7,DEUM71602757,Sieben Leben für dich,album,2016-10-14,206106,Maite Kelly,6,1
I.O.I.O. - Radio Edit,B 3,2002,3b2lYcUl4Scnm4CnltLMvY,DEPI82100993,I.O.I.O.,single,2002-01-01,183000,B 3,1,1
SOS,ABBA,2008,5pMmWfuL0FTGshYt7HVJ8P,SEAYD7501040,ABBA Gold,compilation,2008-01-01,201360,ABBA,10,1
Balada,Gusttavo Lima,2012,6d63QA85w4FXhlXYtz7nco,USA561215539,Caribe 2012: Ai Se o Verão Te Pega!,compilation,2012-06-22,201720,Various Artists,3,1
The Shoop Shoop Song (It's In His Kiss),Cher,1991,5oV1YjM2rtyZ55txHHsFUu,USGF19031001,Love Hurts,album,1991-06-11,170000,Cher,12,1
Umbrella - Radio Edit,"Rihanna, JAŸ-Z",2007,113v1MA9MTShy98uCz37nO,USUM70731242,Umbrella,single,2007-03-29,257053,Rihanna,1,1
Samba de Janeiro - Radio Edit,Bellini,1997,4YopUHLBgDj3l17HYm2OoX,DEG129700451,Samba de Janeiro,single,1997-01-01,168447,Bellini,1,1
Stop! In The Name Of Love,The Supremes,1965,52FlwUMMDnTK8TGkCag9Jd,USMO16500288,More Hits By The Supremes,album,1965-07-23,172906,The Supremes,4,1
Voyage voyage,Desireless,1989,2d8D7uk3tbAThjRkdfrx9c,DEQ858600201,François,album,1989-01-02,266600,Desireless,1,1
The Ketchup Song (Aserejé) - Spanglish Version,Las Ketchup,2002,6UEfyhyfhYQsyipxOd95Ie,ES5110204224,Hijas del Tomate,album,2002,213973,Las Ketchup,1,1
Vamos a la Playa - 1983,Righeira,2012,3iB7lzsBC7PdJLU9k2nttT,IT0728300001,Best of Righeira (Le meilleur des annees 80),compilation,2012,217327,Righeira,1,1
Macarena,Los Del Rio,2002,6mhw2fEPH4fMF0wolNm96e,ES5109500538,Hits Of The 90s,compilation,2002-05-20,222626,Various Artists,10,1
Summer Wine,"Nancy Sinatra, Lee Hazlewood",1968,2JKRZGp4LwT9GGbcXtx2sw,USASE0510168,Nancy & Lee,album,1968-03,224278,"Nancy Sinatra, Lee Hazlewood",4,1
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,1972,3gdewACMIVMEWVbyb8O9sY,GBAMB7200006,Honky Chateau,album,1972-05-19,281613,Elton John,5,1
Dance The Night,Dua Lipa,2023,11C4y2Yz1XbHmaQwO06s9f,USAT22305730,Barbie The Album,compilation,2023-07-21,176579,Various Artists,2,1
One Night Stand,Capital Bra,2018,4i2DmyVwf29lEdmLGNTyGM,DEWS21700051,Berlin lebt,album,2018-07-06,162334,Capital Bra,11,1
Sunny,Bobby Hebb,1966,4vju55Ag7apDL2CfotuE7Q,USPR39402093,Sunny,album,1966-01-01,165066,Bobby Hebb,1,1
Ti Amo,Pietro Lombardi,2021,2vlXmglKhzSlV5XJgPzjnx,DEUM72115879,Ti Amo,single,2021-06-18,173133,Pietro Lombardi,1,1
Spirit In The Sky - Deluxe Edition,Norman Greenbaum,1969,0jvN7eQJJt4nxQzgQfZ1SP,USRE19600416,Spirit In The Sky (Deluxe Edition),album,1969-01-01,242893,Norman Greenbaum,2,1
Stadt,"Cassandra Steen, Adel Tawil",2009,6nE5RgNaFN5E5bpXeH2z9M,DEUM70900096,Darum leben wir,album,2009-01-01,185053,Cassandra Steen,7,1
Lila Wolken,"Marteria, Miss Platnum, Yasha",2012,2i7LYnvqSFfmimscnZqVLn,DEQ321200214,Lila Wolken - EP,single,2012-09-11,228053,"Marteria, Yasha, Miss Platnum",1,1
