title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Don't Worry (with Ray Dalton) - Radio Edit,"Madcon, Ray Dalton",2015,63CSozvYUEudPp12679UVF,NO5281501010,Don't Worry (feat. Ray Dalton),single,2015-04-10,214789,Madcon,1,1
Sexy And I Know It,LMFAO,2013,0KXcsCinixGmfcXjBqfEis,USUM71108090,100x Zomer 2013,compilation,2013-01-01,199706,Various Artists,19,1
Everybody's Free (To Feel Good),Rozalla,2010,4rkiST7hsHEuU5EMvApemD,GBBLG0400723,The Very Best of Rozalla,compilation,2010-12-27,211733,Rozalla,2,1
Go West - Original Version 1979,Village People,1979,0SdfUMRHhcjxrMv5d9V1UP,FR6V80878841,Go West In the Navy,album,1979,250880,Village People,2,1
Ich fühl' mich Disco,Christian Steiffen,2013,2zUKhXh78KzEnC7NzigNjn,DEA621301036,Arbeiter der Liebe,album,2013-10-11,237227,Christian Steiffen,11,1
We Will Rock You - Remastered 2011,Queen,1977,4pbJqGIASGPr0ZpGpnWkDn,GBUM71029618,News Of The World (2011 Remaster),album,1977-10-28,122066,Queen,1,1
Disco Inferno,The Trammps,1976,5jUA1njy3h6ynHLvPdEVHt,USAT27600009,Disco Inferno,album,1976,659000,The Trammps,4,1
Holding On,Leony,2023,6YexWyp9s0V0w1uGhtITsd,DEN062300006,Somewhere in Between,album,2023-03-24,172500,Leony,6,1
Crying At the Discoteque,Alcatraz,2012,5UcMexhqzhHXwGvYuA6kVj,DEZ921200553,Crying At the Discoteque,single,2012-08-21,232306,Alcatraz,1,1
Fascination,Alphabeat,2008,5AKQ1JHezaXDmN5SyMSpEr,DKBR70704104,This Is Alphabeat,album,2008-01-01,182120,Alphabeat,2,1
Don't Be So Shy - Filatov & Karas Remix,"Imany, Filatov & Karas",2016,00vk0sEfb6mr2ehwSw0Uhn,RUA591500339,The Wrong Kind Of War,album,2016-08-26,192226,Imany,14,1
Cheerleader (Felix Jaehn Remix) - Radio Edit,"OMI, felix jaehn",2015,4fTHdMTq0Znl3djLI1Typn,USUS11202574,Cheerleader (Felix Jaehn Remix Radio Edit),single,2015-01-23,180021,OMI,1,1
Keep On Movin',"Five, Steve Mac",1999,0mrU1w2UMIZnR2I6oguwGz,GBARL9900105,Invincible,album,1999-11-08,197400,Five,2,1
Disco Pogo,Die Atzen,2019,1v5ux3K8vE1CWxDa0PVyGu,DEN060900695,"Atzen Musik Vol.1, 2 & 3",album,2019-08-16,204946,Die Atzen,8,1
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,2016,0x93VOS1AOKUgJkZjcG1sh,USRC11600876,TROLLS (Original Motion Picture Soundtrack),compilation,2016-10-25,237546,Trolls,3,1
The Rhythm of the Night,Corona,1994,0ofMkI3jzmGCElAOgOLeo3,ITA199800041,The Rhythm of the Night,album,1994,264280,Corona,8,1
