title,artist,estimated_year,spotify_track_id,isrc,spotify_album_name,spotify_album_type,spotify_album_release_date,spotify_duration_ms,spotify_album_artist,spotify_track_number,spotify_disc_number
Forget Me,Lewis Capaldi,2023,3iHzKA9HlXf5wsGdsrsnSA,DEUM72204717,Broken By Desire To Be Heavenly Sent,album,2023-05-19,203666,Lewis Capaldi,1,1
There's Nothing Holdin' Me Back,Shawn Mendes,2017,7JJmb5XwzOO8jgpou264Ml,USUM71702833,Illuminate (Deluxe),album,2017-04-20,199440,Shawn Mendes,1,1
Doin' It,"LL COOL J, Leshaun",1995,4WMBl2wiGUSGa5C7tfQEAo,USDJ29500149,Mr. Smith (Deluxe Edition),album,1995-11-21,293933,LL COOL J,5,1
One,U2,1991,3G69vJMWsX6ZohTykad2AU,GBUM71106457,Achtung Baby (Deluxe Edition),album,1991-11-18,276186,U2,3,1
I Got You (I Feel Good),James Brown & The Famous Flames,1966,5haXbSJqjjM0TCJ5XkfEaC,USF066625050,I Got You (I Feel Good),album,1966-02-01,165800,James Brown & The Famous Flames,1,1
Stick Season,Noah Kahan,2022,0mflMxspEfB0VbI1kyLiAv,USUM72212470,Stick Season,album,2022-10-14,182346,Noah Kahan,2,1
How Do I Live,LeAnn Rimes,2003,7BD50ATrF3Vab5FQy7vtK8,USCRB9700025,Greatest Hits,compilation,2003-11-18,266973,LeAnn Rimes,2,1
Wellerman - Sea Shanty / 220 KID x Billen Ted Remix,"Nathan Evans, 220 KID",2021,3iw6V4LH7yPj1ESORX9RIN,GBUM72100298,Wellerman (Sea Shanty / 220 KID x Billen Ted Remix),single,2021-01-21,116750,"Nathan Evans, 220 KID",1,1
Mississippi,Pussycat,1976,3tP0kdmWRSqmJAt4nR3ykw,NLA277500082,First Of All,album,1976-01-01,273800,Pussycat,8,1
Dancing On The Ceiling,Lionel Richie,1986,0snPJPxkk0MbTc0xeUvAPt,USMO18682745,Dancing On The Ceiling (Expanded Edition),album,1986,270720,Lionel Richie,1,1
Paint The Town Red,Doja Cat,2023,2IGMVunIBsBLtEQyoI1Mu7,USRC12300907,Paint The Town Red,single,2023-08-04,231750,Doja Cat,1,1
Patricia,Pérez Prado,1958,1BbZJplex0pifLjhuhoaK5,MXF019900875,Patricia,album,1958-08-13,139840,Pérez Prado,1,1
Stand By Your Man,Tammy Wynette,1992,6xatfNMI8NkY5XxRHAeiS4,USSM16800038,Tears Of Fire: The 25th Anniversary Collection,compilation,1992-11-10,159760,Tammy Wynette,14,1
"Get Up, Stand Up",Bob Marley & The Wailers,1973,5MVW8uIuNuL7CQ0RyyogHI,GBAAN0400796,Burnin' (Deluxe Edition),album,1973-10-19,221933,Bob Marley & The Wailers,14,1
Who's Johnny,El DeBarge,1986,02RbmzVSbkxJVIqMNx47uY,USMO18600259,El DeBarge,album,1986-01-01,248466,El DeBarge,1,1
As Long as You Love Me,Backstreet Boys,1997,3UpS7kBnkVQYG13pDDFTC4,USJI19710094,Backstreet's Back,album,1997-08-12,221106,Backstreet Boys,2,1
Suzanne,Leonard Cohen,1967,2L93TdW2GMue1H2zlkt30F,USSM16701039,Songs Of Leonard Cohen,album,1967-12-27,229293,Leonard Cohen,1,1
Girls Just Want to Have Fun,Cyndi Lauper,1983,4y1LsJpmMti1PfRQV9AWWe,USSM18300548,She's So Unusual,album,1983-10-14,238120,Cyndi Lauper,2,1
Goodnight Saigon,Billy Joel,1985,0ZWYwiWvH6fjRo2ie519Sj,USSM18100396,Greatest Hits Volume I & Volume II,compilation,1985-06-29,420306,Billy Joel,9,2
Some Say,Nea,2019,4poybupy26pTWPr9zY1i7h,SEBGA1902650,Some Say,single,2019-09-06,175601,Nea,1,1
Can't Buy Me Love,The Beatles Greatest Hits Performed By The Frank Berman Band,2010,6w0ZI7XTlUq9fsrNLxfjNX,TCAAT1038318,The Beatles Greatest Hits Performed By The Frank Berman Band,compilation,2010-11-29,133003,The Beatles Greatest Hits Performed By The Frank Berman Band,1,1
Heart Of Glass,Blondie,2006,41AE8ODX2JETBCa6muhSLY,USCH37900017,Greatest Hits: Blondie,compilation,2006-01-01,252186,Blondie,1,1
Live While We're Young,One Direction,2012,6Vh03bkEfXqekWp7Y1UBRb,GBHMU1200210,Take Me Home (Expanded Edition),album,2012-11-12,200213,One Direction,1,1
The A Team,Ed Sheeran,2011,1VdZ0vKfR5jneCmWIUAMxK,GBAHS1100095,+,album,2011-09-09,258373,Ed Sheeran,1,1
MMMBop,Hanson,2005,1reVP49LT6RsV6kYY9lTZz,USMR19786791,MmmBop : The Collection,album,2005-01-01,267946,Hanson,1,1
you broke me first,Tate McRae,2021,4l0RmWt52FxpVxMNni6i63,USRC12000832,TOO YOUNG TO BE SAD,single,2021-03-26,170234,Tate McRae,5,1
